,movie_name,Produced by,Music by,Productioncompany,Running time,Country,Language,Budget(Milion),Box office(Milion),SuccessCategory
97,The Aristocats,['Winston Hibler'],['George Bruns'],['Walt Disney Productions'],['79 minutes'],['United States'],['English'],4.00,191.00,Flop
98,The Barefoot Executive,['Bill Anderson'],"['Franklyn Marks', 'Bruce Belland']",['Walt Disney Productions'],['96 minutes'],['United States'],['English'],NaN,NaN,Hit
99,Scandalous John,['Bill Walsh'],['Rod McKuen'],['Walt Disney Productions'],['113 minutes'],['United States'],['English'],NaN,NaN,Hit
100,The Million Dollar Duck,['Bill Anderson'],['Buddy Baker'],['Walt Disney Productions'],['89 minutes'],['United States'],['English'],NaN,5.00,Flop
101,Bedknobs and Broomsticks,['Bill Walsh'],['Irwin Kostal'],['Walt Disney Productions'],['118 minutes (1971 original version)139 minutes (1996 reconstruction version)'],"['United States[1][2]', 'United States[1][2]']",['English'],6.00,18.00,Flop
102,The Biscuit Eater (1972 film),['Bill Anderson'],['Robert F. Brunner'],['Walt Disney Productions'],['92 minutes'],['United States'],['English'],NaN,NaN,Hit
103,"Now You See Him, Now You Don't",['Ron Miller'],['Robert F. Brunner'],['Walt Disney Productions'],['88 minutes'],['United States'],['English'],NaN,4106000.00,Hit
104,Napoleon and Samantha,['Winston Hibler'],['Buddy Baker'],['Walt Disney Productions'],['92 minutes'],['United States'],['English'],NaN,NaN,Hit
105,"Run, Cougar, Run",['James Algar'],['Buddy Baker'],['Walt Disney Productions'],['87 minutes'],['United States'],['English'],NaN,NaN,Hit
106,Snowball Express,['Ron Miller'],['Evelyn Kennedy'],['Walt Disney Productions'],['93 minutes'],['United States'],['English'],NaN,6100000.00,Hit
107,The World's Greatest Athlete,['Bill Walsh'],['Marvin Hamlisch'],['Walt Disney Productions'],['93 minutes'],['United States'],['English'],NaN,22583000.00,Hit
108,Charley and the Angel,['Bill Anderson'],"['Paul J. Smith', 'Buddy Baker']",['Walt Disney Productions'],['93 minutes'],['United States'],['English'],NaN,NaN,Hit
109,One Little Indian (film),['Winston Hibler'],['Jerry Goldsmith'],['Walt Disney Productions'],['90 Minutes'],['United States'],['English[1]'],NaN,2.00,Flop
110,Robin Hood (1973 film),['Wolfgang Reitherman'],['George Bruns'],['Walt Disney Productions'],['83 minutes'],['United States'],['English'],5.00,33.00,Flop
111,Superdad,['Bill Anderson'],['Buddy Baker'],['Walt Disney Productions'],['96 minutes'],['United States'],['English'],NaN,7.00,Flop
112,Herbie Rides Again,['Bill Walsh'],['George Bruns'],['Walt Disney Productions'],['88 minutes'],['United States'],['English'],NaN,38.00,Flop
113,The Bears and I,['Winston Hibler'],['Buddy Baker'],['Walt Disney Productions'],['89 minutes'],['United States'],['English'],NaN,4.00,Flop
114,The Castaway Cowboy,"['Ron Miller', 'Winston Hibler']",['Robert F. Brunner'],['Walt Disney Productions'],['91 minutes'],['United States'],['English'],NaN,NaN,Hit
